name,size
2805-3319/v=mAWHCHZ2v7I__#1_label_A,136.35
1005-2004/Saving.Private.Ryan.1998__#00-10-58_00-23-50_label_B2-G-0,136.23
2005-2804/v=eTMszLFSMh8__#1_label_A,135.86
2005-2804/v=Huf3QpHTSyk__#1_label_A,135.53
2005-2804/v=hBnl8q1Sonw__#1_label_A,134.92
2805-3319/v=KZLyc_Bc_N8__#1_label_A,134.37
test_videos/v=wQrV75N2BrI__#1_label_A,133.28
2005-2804/v=IlQ53DIh8G0__#1_label_A,131.94
2005-2804/v=fZI47tH5GPs__#1_label_A,131.5
test_videos/v=OFxPTJxA5pg__#1_label_B4-0-0,126.12
2805-3319/v=m9yI2LGZRE0__#1_label_A,125.88
2805-3319/v=punwkZSms1c__#1_label_A,123.14
1005-2004/v=8EeTfiBWZzU__#1_label_A,121.47
2805-3319/v=P_w9DifJuAU__#1_label_A,121.07
2005-2804/v=I8Na13j54CI__#1_label_A,120.71
test_videos/v=tI7fktKY6OU__#1_label_A,119.0
2005-2804/v=cTPB8Q47a4s__#1_label_A,118.25
2005-2804/v=joQ75X2brJ8__#1_label_A,117.53
2805-3319/v=lxpWeUrO9k8__#1_label_B4-0-0,116.76
2005-2804/v=hy9O_tg3pOk__#1_label_A,114.77
2005-2804/v=Ix4xrfIVI8Y__#00-37-48_00-57-50_label_A,114.55
2805-3319/v=lRILZpZjv2M__#1_label_A,114.0
3320-3954/v=v1hVhekoeGs__#1_label_A,112.07
3320-3954/v=Y6J2jTLQ8AA__#1_label_B6-0-0,112.04
2005-2804/v=e58QSA0BOws__#1_label_A,111.66
2005-2804/v=Iaon8hM2UbM__#00-00-00_00-30-06_label_B4-0-0,111.47
2805-3319/v=nIU1Uky7--A__#1_label_B6-0-0,111.27
test_videos/v=EeUTpfyb0qo__#1_label_A,109.42
2805-3319/v=-pvf8ftpRWg__#1_label_B4-0-0,109.41
2805-3319/v=kqaNUjTR70A__#1_label_A,108.58
1005-2004/v=1ifHYTW_AU0__#1_label_A,107.97
3320-3954/v=Wa2zNUdds4A__#1_label_A,106.11
1005-2004/v=3M2NCcSxKLY__#1_label_A,104.27
3320-3954/v=TuE9PqCu6U0__#1_label_A,104.06
3320-3954/v=tb4KREvKYBA__#00-13-30_00-23-20_label_B4-0-0,103.92
1005-2004/v=7W1M7Pex4pk__#1_label_A,102.88
2005-2804/v=aQj5qTFhdZ0__#1_label_A,96.67
3320-3954/v=VY91zRGzdv8__#1_label_A,95.69
2805-3319/v=OkKRRBtGrow__#1_label_A,95.27
2005-2804/v=fy_tvIix_iY__#1_label_A,94.04
2805-3319/v=rHasGCRYSgA__#1_label_A,93.17
2005-2804/v=H1JcEsFU07s__#1_label_A,92.26
test_videos/v=ErOcW_CSOyQ__#1_label_A,92.0
2005-2804/v=D8MZwMzs9rA__#1_label_B4-0-0,90.92
test_videos/v=vHnAmx0UYbM__#1_label_A,90.45
2005-2804/v=fFfLxQwy0dk__#1_label_A,89.63
2005-2804/v=GRX7iW4Jqcs__#1_label_A,89.23
3320-3954/v=XAZIC6RlSXs__#1_label_A,88.62
2005-2804/v=jkJ_gJQh2Xo__#1_label_A,88.12
3320-3954/v=uq0-ncI0MNg__#1_label_A,88.09
2005-2804/v=-boWwzJqEhQ__#1_label_B4-0-0,87.46
1005-2004/v=0k7z2syu-4g__#1_label_A,87.39
2805-3319/v=PWWUHblOmm0__#1_label_A,87.31
1005-2004/v=7qY3sBNMqBQ__#1_label_A,87.0
2005-2804/v=bpXcG9Nfvos__#1_label_A,86.1
1005-2004/v=3V6ucfKL6nI__#1_label_A,85.85
2805-3319/v=o1Ye9f641Rg__#1_label_A,85.71
2005-2804/v=aRYJ9u0sEE4__#1_label_A,85.65
1005-2004/v=_f2LLG_CPRQ__#1_label_A,85.43
2805-3319/v=r22wGeBDJdw__#1_label_A,85.02
test_videos/v=Dh-3BlhAOnE__#00-00-00_00-13-36_label_B4-0-0,84.7
1005-2004/v=-8O0_tG44IM__#1_label_B6-0-0,84.35
2005-2804/v=Fxo9-8FKfX4__#1_label_A,82.95
test_videos/v=HksDvkX6Bjk__#1_label_A,82.64
2805-3319/v=LDAwF7mnYE8__#1_label_A,82.07
test_videos/Ip.Man.3.2015__#00-46-08_00-54-20_label_B1-0-0,81.47
2005-2804/v=i-7xMY-jkK4__#1_label_A,81.08
2805-3319/v=PejV3Qticq0__#1_label_B4-0-0,80.94
2805-3319/v=m7aF-aNmlaA__#1_label_A,80.65
2005-2804/v=cDPC4-jJe2g__#1_label_A,80.53
3320-3954/v=WsxYAwdOgO4__#1_label_A,80.44
2805-3319/v=PQnFFCyJ3Eo__#00-00-00_00-08-57_label_B4-0-0,79.33
2005-2804/v=C_-cBLQlB-A__#1_label_A,78.73
3320-3954/v=tQdSoU2vuus__#1_label_A,75.78
2805-3319/v=LxWWnIuUaMY__#1_label_B4-0-0,75.11
1005-2004/The.Intouchables.2011__#01-03-30_01-15-33_label_A,73.8
2005-2804/v=JWm6LfFFRB4__#1_label_A,73.39
3320-3954/v=VEF11DADed__#00-01-59_00-13-48_label_G-0-0,73.33
2005-2804/v=C6Px7JdJb7c__#1_label_A,72.95
3320-3954/v=Tlx-XRyAgnM__#00-00-00_00-10-06_label_B4-0-0,72.39
2805-3319/v=q1tQa14sUWw__#1_label_B4-0-0,71.32
2005-2804/v=fPZoHtF_dRI__#1_label_A,70.76
1-1004/Bad.Boys.II.2003__#00-30-16_00-36-53_label_B2-B6-G,69.42
2005-2804/v=JY7tS_4kDEI__#1_label_A,69.29
2805-3319/v=sirrTXiPFmw__#1_label_A,68.87
2805-3319/v=SdYFFo_tsfk__#00-36-00_00-42-00_label_A,68.09
2805-3319/v=pFamvR9CpYw__#00-15-20_00-25-20_label_B4-0-0,67.68
test_videos/v=smnw0Q7AxFQ__#1_label_A,67.12
test_videos/v=5l-nbDl0qvg__#1_label_A,66.4
2805-3319/v=KfNg0Fx1D54__#1_label_A,66.06
test_videos/Braveheart.1995__#01-26-50_01-32-30_label_B1-0-0,65.93
1005-2004/v=0FYoyva-TFs__#1_label_A,65.65
2805-3319/v=mDLCd70iTeE__#1_label_A,65.5
2005-2804/v=idBwMN0E9Qg__#00-10-39_00-18-44_label_B4-0-0,65.19
3320-3954/v=ZwwEdra5d3c__#1_label_A,65.19
test_videos/v=gsz_P8t-KM4__#1_label_B4-0-0,65.18
2805-3319/v=SdYFFo_tsfk__#00-30-00_00-36-00_label_A,65.01
2805-3319/v=pFamvR9CpYw__#00-35-20_00-45-20_label_B4-0-0,64.68
1-1004/Casino.Royale.2006__#01-05-46_01-17-09_label_A,63.49
2805-3319/v=shph7ZJb9tU__#1_label_B6-0-0,63.48
2805-3319/v=o90PytkckwI__#1_label_A,63.26
2805-3319/v=SdYFFo_tsfk__#00-42-00_00-48-00_label_A,63.19
2005-2804/v=EDWpEhytG0c__#1_label_A,62.9
2005-2804/v=CJWl6Hcco_E__#1_label_A,62.72
1-1004/Ip.Man.3.2015__#01-32-19_01-40-50_label_B1-0-0,62.58
1005-2004/Shoplifters.2018__#01-07-30_01-16-59_label_A,62.57
2805-3319/v=qoDFUdbNJGk__#1_label_A,61.7
1005-2004/v=2oUyemslvxw__#1_label_A,60.58
2805-3319/v=pFamvR9CpYw__#00-25-20_00-35-20_label_B4-0-0,60.07
2005-2804/v=JnCMUGnWVIg__#1_label_A,59.27
1-1004/Hear.Me.2009__#01-39-05_01-46-40_label_A,59.04
3320-3954/v=XjFM_RswttU__#00-06-06_00-10-36_label_B4-0-0,58.69
3320-3954/wangted.2008__#0-14-01_0-20-25_label_B2-B6-0,58.28
test_videos/v=pFamvR9CpYw__#00-06-36_00-15-20_label_B4-0-0,58.14
test_videos/v=a0TQkX_zLt0__#1_label_A,58.13
3320-3954/v=ZnFlL84K7HE__#00-00-00_00-09-22_label_B4-0-0,57.84
1-1004/Love.Actually.2003__#01-47-05_01-54-40_label_A,57.58
2005-2804/v=AndzwGcYF4w__#1_label_A,57.56
2005-2804/v=CFIauDPjdX4__#1_label_B6-0-0,56.82
2805-3319/v=qAVEja5DXr4__#1_label_A,56.77
2005-2804/v=JzrpCC7XmyE__#00-48-00_00-54-00_label_A,56.75
3320-3954/v=ZXWaa5TOqZo__#00-06-55_00-13-46_label_B4-0-0,55.81
2805-3319/v=Q3o0ayyWap4__#1_label_A,55.77
3320-3954/v=ZnFlL84K7HE__#00-15-08_00-22-53_label_B4-0-0,55.55
3320-3954/v=ZyWlEWx6WsY__#1_label_A,55.13
2005-2804/v=JKpZsqblCYs__#1_label_A,55.12
1005-2004/v=0gdy9L5whEs__#1_label_B6-0-0,54.86
2005-2804/v=JmWLutqb9Qw__#1_label_A,54.75
2005-2804/v=JzrpCC7XmyE__#00-54-00_01-00-00_label_A,54.39
2805-3319/v=SdYFFo_tsfk__#00-48-00_00-54-00_label_A,54.33
2805-3319/v=n81Q_AzkVio__#1_label_B6-0-0,53.95
2005-2804/v=idBwMN0E9Qg__#00-00-00_00-05-30_label_B4-0-0,53.57
1005-2004/The.Pursuit.of.Happyness.2006__#01-09-30_01-16-59_label_A,53.52
1005-2004/v=6mTIikv5iwU__#1_label_B6-0-0,53.41
3320-3954/v=WjO4zweaD2w__#1_label_A,53.29
1005-2004/NewAdd.xidianuniversity__#1_label_A,52.91
1-1004/Bad.Boys.II.2003__#02-07-07_02-12-05_label_B2-G-0,52.89
2005-2804/v=D2FdA8QHiYk__#1_label_A,52.76
1-1004/IP.Man.2.2010__#01-07-48_01-15-21_label_B1-0-0,52.56
2005-2804/v=hz-OfnN72OU__#1_label_A,52.07
3320-3954/v=WiUR8SoBens__#1_label_A,51.65
1-1004/Jason.Bourne.2016__#01-39-30_01-45-05_label_B6-0-0,51.47
2805-3319/v=SdYFFo_tsfk__#01-42-00_01-48-00_label_A,51.38
test_videos/Kill.Bill.Vol.1.2003__#01-21-39_01-26-55_label_B1-0-0,51.19
test_videos/v=fkps18H3SXY__#00-36-00_00-42-00_label_A,51.19
2005-2804/v=iegHZ_UWWsA__#00-00-00_00-08-58_label_B4-0-0,50.97
2805-3319/v=oI5fXACZ4fU__#1_label_A,50.76
1005-2004/v=9eME1y6V-T4__#00-12-00_00-18-00_label_A,50.7
2805-3319/v=McTTbbaHjhI__#1_label_A,50.59
1-1004/Hot.Fuzz.2007__#01-33-10_01-38-50_label_B2-0-0,50.27
1-1004/Bullet.in.the.Head.1990__#01-28-30_01-33-00_label_B2-G-0,50.22
test_videos/v=5AlAh8J3WqE__#1_label_A,50.19
3320-3954/v=vu3gsiA1KLs__#1_label_A,50.05
3320-3954/v=yTThyQPoXxY__#1_label_A,50.0
2005-2804/v=fkps18H3SXY__#00-30-00_00-36-00_label_A,49.86
1-1004/IP.Man.2.2010__#00-22-00_00-26-30_label_B1-0-0,49.46
3320-3954/v=XjFM_RswttU__#00-00-00_00-03-57_label_B4-0-0,49.17
test_videos/v=9eME1y6V-T4__#01-18-00_01-24-00_label_A,48.98
3320-3954/v=XvClcfVqwXA__#1_label_A,48.91
1-1004/Gladiator.2000__#01-32-15_01-37-06_label_B1-0-0,48.88
3320-3954/v=ZdBy-v2C964__#1_label_A,48.81
2005-2804/v=fkps18H3SXY__#02-18-00_02-24-00_label_A,48.65
2805-3319/v=SdYFFo_tsfk__#01-12-00_01-18-00_label_A,48.61
1-1004/About.Time.2013__#01-09-30_01-16-59_label_A,47.71
1005-2004/The.Pursuit.of.Happyness.2006__#01-39-05_01-46-40_label_A,47.5
3320-3954/v=TBGDuYdK_yA__#1_label_B6-0-0,47.15
2005-2804/v=aD0ipmvg8qU__#1_label_B1-0-0,47.02
test_videos/v=pFamvR9CpYw__#00-00-00_00-06-36_label_B4-0-0,47.01
2805-3319/v=MfgGJY_eZ4Q__#00-00-57_00-08-06_label_B4-0-0,46.71
2805-3319/v=SdYFFo_tsfk__#01-24-00_01-30-00_label_A,46.69
2805-3319/v=pFamvR9CpYw__#00-45-20_00-55-20_label_B4-0-0,46.67
test_videos/v=9eME1y6V-T4__#01-00-00_01-06-00_label_A,46.6
3320-3954/v=TGhunYe0Fvk__#1_label_A,46.52
3320-3954/v=Wj1Xw2_duq8__#1_label_A,46.35
2005-2804/v=DeUSwzw847M__#1_label_A,46.23
2005-2804/v=E6JnJe8uJN8__#1_label_B6-0-0,46.19
1005-2004/v=9eME1y6V-T4__#01-30-00_01-36-00_label_A,45.82
test_videos/Love.Actually.2003__#01-39-05_01-46-40_label_A,45.76
1-1004/A.Beautiful.Mind.2001__#01-58-20_02-05-00_label_A,45.69
2005-2804/v=fkps18H3SXY__#00-12-00_00-18-00_label_A,45.69
3320-3954/v=uij8heW1HbQ__#1_label_A,45.61
2005-2804/v=fkps18H3SXY__#01-30-00_01-36-00_label_A,45.22
1-1004/Death.Proof.2007__#01-32-22_01-37-50_label_B6-0-0,45.19
1-1004/Ip.Man.2008__#00-28-08_00-33-03_label_B1-0-0,44.85
1-1004/Hear.Me.2009__#01-09-30_01-16-59_label_A,44.78
2805-3319/v=KjBaxA1HBvQ__#1_label_A,44.73
3320-3954/v=Tlx-XRyAgnM__#00-16-43_00-23-09_label_B4-0-0,44.73
3320-3954/v=UBXehaIFOpc__#1_label_B6-0-0,44.66
3320-3954/v=zzP5qr-ZxHY__#1_label_A,44.64
1-1004/Love.Actually.2003__#02-02-50_02-09-20_label_A,44.6
2805-3319/v=SdYFFo_tsfk__#01-30-00_01-36-00_label_A,44.59
1-1004/Bad.Boys.1995__#01-44-40_01-49-20_label_B2-G-B6,44.57
2005-2804/v=iegHZ_UWWsA__#00-08-58_00-14-05_label_B4-0-0,44.56
3320-3954/v=zW0GpJ9-RTo__#1_label_A,44.43
2805-3319/v=SdYFFo_tsfk__#01-18-00_01-24-00_label_A,44.4
test_videos/v=9eME1y6V-T4__#01-06-00_01-12-00_label_A,44.39
2005-2804/v=-bIDfnyelC4__#1_label_A,44.28
1005-2004/Quantum.Of.Solace.2008__#00-22-53_00-29-20_label_A,44.24
2805-3319/v=SdYFFo_tsfk__#00-12-00_00-18-00_label_A,44.18
2005-2804/v=D-UniZ9NmDg__#1_label_A,43.95
2805-3319/v=NXRLOf-zp2s__#1_label_A,43.86
1-1004/Fury.2014__#01-48-19_01-56-29_label_B2-G-0,43.71
2005-2804/v=DNTjTcW9Atc__#1_label_A,43.62
2005-2804/v=fkps18H3SXY__#01-00-00_01-06-00_label_A,43.49
2005-2804/v=JzrpCC7XmyE__#01-00-00_01-06-00_label_A,43.46
1-1004/Death.Proof.2007__#01-42-24_01-48-28_label_B6-0-0,43.31
3320-3954/v=y8lB9ThlZLg__#1_label_B4-0-0,43.22
2005-2804/v=36VcW5DWJyI__#1_label_B1-0-0,43.18
2005-2804/v=fkps18H3SXY__#02-12-00_02-18-00_label_A,43.18
2005-2804/v=fkps18H3SXY__#00-06-00_00-12-00_label_A,43.06
2005-2804/v=fkps18H3SXY__#01-18-00_01-24-00_label_A,42.86
3320-3954/v=vFPQ_NiDBIU__#00-00-00_00-06-00_label_A,42.83
1005-2004/Saving.Private.Ryan.1998__#00-41-55_00-45-45_label_A,42.75
test_videos/v=fkps18H3SXY__#00-00-00_00-06-00_label_A,42.57
2005-2804/v=fkps18H3SXY__#02-30-00_02-36-00_label_A,42.55
1-1004/Desperado.1995__#01-27-37_01-31-55_label_B2-G-0,42.41
1-1004/Desperado.1995__#00-31-12_00-37-04_label_B1-B2-0,42.31
3320-3954/v=vFPQ_NiDBIU__#00-06-00_00-12-00_label_A,42.22
1-1004/Hear.Me.2009__#00-56-40_01-02-02_label_A,42.19
test_videos/v=bfOlheR5nUQ__#00-00-00_00-04-33_label_B4-0-0,42.17
test_videos/v=MyM5G7fo7Gg__#00-06-00_00-09-00_label_A,42.16
test_videos/v=ZnFlL84K7HE__#00-27-53_00-34-45_label_B4-0-0,42.14
2805-3319/v=pFamvR9CpYw__#00-55-20_01-05-45_label_B4-0-0,41.98
2005-2804/v=d9tHiTMSv1g__#1_label_A,41.98
3320-3954/v=VpmGap58ZX0__#1_label_A,41.87
2805-3319/v=q2SP66Jb6Cw__#00-18-00_00-24-00_label_A,41.85
3320-3954/Young.And.Dangerous.III.1996__#01-31-15_01-34-46_label_B1-0-0,41.71
2005-2804/v=fkps18H3SXY__#02-00-00_02-06-00_label_A,41.62
test_videos/v=plhVMWR33go__#1_label_A,41.6
1005-2004/Operation.Red.Sea.2018__#0-38-02_0-43-05_label_B2-G-0,41.58
1005-2004/Saving.Private.Ryan.1998__#00-24-06_00-28-42_label_B2-G-0,41.4
2005-2804/v=AqFWYZsOgWY__#00-30-00_00-33-00_label_A,41.33
test_videos/v=qrKfaX1lCUM__#1_label_G-0-0,41.15
2005-2804/v=fVCA9TXHDxE__#1_label_B4-0-0,41.14
2005-2804/v=JzrpCC7XmyE__#00-36-00_00-42-00_label_A,41.12
1-1004/Before.Sunset.2004__#00-32-07_00-36-45_label_A,40.97
2005-2804/v=fkps18H3SXY__#00-18-00_00-24-00_label_A,40.6
test_videos/v=AqFWYZsOgWY__#00-33-00_00-36-00_label_A,40.56
3320-3954/v=yE8sbxP4SfM__#1_label_A,40.55
3320-3954/v=vFPQ_NiDBIU__#00-12-00_00-18-00_label_A,40.55
1005-2004/v=0vVOXlgHC1U__#01-06-00_01-12-50_label_A,40.52
test_videos/v=JzrpCC7XmyE__#01-06-00_01-12-00_label_A,40.49
3320-3954/v=Y1rKmZ0xLKw__#1_label_B4-0-0,40.44
2805-3319/v=SdYFFo_tsfk__#00-06-00_00-12-00_label_A,40.4
3320-3954/v=stK3YPz6WTc__#1_label_B4-0-0,40.22
test_videos/v=9eME1y6V-T4__#02-00-00_02-06-00_label_A,40.21
2805-3319/v=o6krIphPlvU__#1_label_A,40.18
1-1004/Good.Will.Hunting.1997__#01-52-20_01-58-00_label_A,40.15
3320-3954/v=Xs8fRP0_o8w__#1_label_A,40.15
2005-2804/v=fkps18H3SXY__#01-36-00_01-42-00_label_A,40.09
2805-3319/v=LGmHE8wxreY__#1_label_A,40.09
1005-2004/The.Secret.Life.of.Walter.Mitty.2013__#01-09-30_01-16-59_label_A,40.04
2005-2804/v=doCahM4-zUA__#1_label_A,40.02
1005-2004/v=0vVOXlgHC1U__#01-00-00_01-06-00_label_A,39.99
1-1004/Kill.Bill.Vol.1.2003__#0-50-31_0-58-52_label_A,39.95
1005-2004/v=9eME1y6V-T4__#00-18-00_00-24-00_label_A,39.94
test_videos/v=HTEyaXBPf9U__#1_label_A,39.85
1005-2004/The.Attorney.2013__#01-09-30_01-16-59_label_A,39.84
test_videos/v=rAlZRFZTwxM__#00-03-13_00-07-08_label_G-0-0,39.83
2005-2804/v=ILNDWCLVnpw__#1_label_A,39.68
3320-3954/v=vbLIiYsa0Ik__#1_label_A,39.54
test_videos/v=SdYFFo_tsfk__#00-00-00_00-06-00_label_A,39.53
2805-3319/v=MyM5G7fo7Gg__#00-09-00_00-12-00_label_A,39.38
2005-2804/v=AqFWYZsOgWY__#00-36-00_00-39-00_label_A,39.29
1-1004/Hear.Me.2009__#00-25-20_00-29-40_label_A,39.24
2805-3319/v=MyM5G7fo7Gg__#00-03-00_00-06-00_label_A,39.23
2805-3319/v=nRWweMDjnKo__#00-00-00_00-03-34_label_B4-0-0,39.22
1-1004/About.Time.2013__#01-39-05_01-46-40_label_A,39.21
2805-3319/v=SdYFFo_tsfk__#01-06-00_01-12-00_label_A,39.15
2005-2804/v=AqFWYZsOgWY__#00-27-00_00-30-00_label_A,39.11
2005-2804/v=fkps18H3SXY__#00-48-00_00-54-00_label_A,39.11
1005-2004/v=9eME1y6V-T4__#00-06-00_00-12-00_label_A,39.1
2005-2804/v=idBwMN0E9Qg__#00-05-30_00-10-39_label_B4-0-0,39.08
2005-2804/v=gQf40mPOzVE__#1_label_B1-0-0,38.93
1005-2004/v=9eME1y6V-T4__#01-54-00_02-00-00_label_A,38.91
2005-2804/v=i6ZQv7fVtl8__#1_label_B4-0-0,38.89
1-1004/Good.Will.Hunting.1997__#01-07-50_01-14-05_label_A,38.83
2005-2804/v=fkps18H3SXY__#02-06-00_02-12-00_label_A,38.68
2005-2804/v=AqFWYZsOgWY__#00-39-00_00-42-00_label_A,38.51
2005-2804/v=aBJJ9CDYqUc__#1_label_A,38.48
1-1004/Bullet.in.the.Head.1990__#01-07-01_01-10-00_label_B2-G-0,38.44
1005-2004/v=0vVOXlgHC1U__#00-06-00_00-12-00_label_A,38.39
1005-2004/v=8TDaA_4tR-U__#1_label_B4-0-0,38.27
test_videos/v=OB0-MXNPUIU__#1_label_B4-0-0,38.22
2005-2804/v=JzrpCC7XmyE__#00-24-00_00-30-00_label_A,38.18
2805-3319/v=SdYFFo_tsfk__#01-36-00_01-42-00_label_A,38.12
3320-3954/v=tAIy_2Fnz-Q__#1_label_A,38.1
2805-3319/v=oNHEAtcrn4c__#1_label_A,38.09
2005-2804/v=JzrpCC7XmyE__#00-30-00_00-36-00_label_A,38.01
2005-2804/v=hwgsrGRXxAo__#1_label_A,37.93
1005-2004/v=3E5NyhlB70Q__#1_label_A,37.87
2005-2804/v=fkps18H3SXY__#01-24-00_01-30-00_label_A,37.86
2005-2804/v=fkps18H3SXY__#02-24-00_02-30-00_label_A,37.85
2005-2804/v=JzrpCC7XmyE__#00-01-20_00-06-00_label_A,37.85
test_videos/v=AqFWYZsOgWY__#00-21-00_00-24-00_label_A,37.73
test_videos/Love.Me.If.You.Dare.2003__#00-33-52_00-39-00_label_A,37.72
1005-2004/v=9eME1y6V-T4__#00-36-00_00-42-00_label_A,37.66
2005-2804/v=jAvOGTD7_pU__#00-18-00_00-21-40_label_A,37.65
1-1004/Bullet.in.the.Head.1990__#01-21-37_01-25-26_label_B2-0-0,37.63
2005-2804/v=AqFWYZsOgWY__#00-42-00_00-45-00_label_A,37.62
2005-2804/v=Cv_8TtGVi9A__#1_label_B6-0-0,37.59
1005-2004/v=0vVOXlgHC1U__#00-18-00_00-24-00_label_A,37.5
2005-2804/v=aQ3qMpgZjwg__#00-05-18_00-09-13_label_B4-0-0,37.49
3320-3954/v=yYhonx-3HN8__#1_label_A,37.49
3320-3954/v=v4kH4NKp8CU__#1_label_B4-0-0,37.47
1-1004/Ip.Man.2008__#01-34-52_01-39-12_label_B1-0-0,37.38
1005-2004/v=9eME1y6V-T4__#00-30-00_00-36-00_label_A,37.3
2005-2804/v=CoxsDkB-rWU__#00-01-20_00-07-06_label_B4-0-0,37.27
2805-3319/v=MyM5G7fo7Gg__#00-00-00_00-03-00_label_A,37.25
3320-3954/v=vFPQ_NiDBIU__#00-18-00_00-24-00_label_A,37.17
test_videos/v=vFPQ_NiDBIU__#02-42-00_02-48-00_label_A,37.17
2805-3319/v=laEaWPqfT1k__#1_label_A,37.14
1-1004/A.Beautiful.Mind.2001__#01-52-20_01-58-00_label_A,37.14
2005-2804/v=fkps18H3SXY__#00-42-00_00-48-00_label_A,37.12
1-1004/Hear.Me.2009__#00-33-52_00-38-31_label_A,37.1
2005-2804/v=fkps18H3SXY__#01-48-00_01-54-00_label_A,37.07
1-1004/About.Time.2013__#01-50-20_01-56-30_label_A,37.05
2005-2804/v=AqFWYZsOgWY__#00-09-00_00-12-00_label_A,37.01
2005-2804/v=JzrpCC7XmyE__#01-12-00_01-18-00_label_A,37.01
2805-3319/v=MyM5G7fo7Gg__#00-30-00_00-33-00_label_A,36.99
2005-2804/v=d_T0lqsypw8__#1_label_A,36.94
3320-3954/v=ZC0rczrqn5s__#00-08-06_00-13-43_label_B4-0-0,36.94
2005-2804/v=AqFWYZsOgWY__#00-18-00_00-21-00_label_A,36.9
